observation_id,access,user_id,specie_id,specie_name,major_clade,family_molecules,family_morphology,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
149,1,5,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,282,144,97,Water clarity preference,10,cat,22,Derived from textual description,clear,group_opinion,,,,,
110915,1,2,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125362,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,submassive,expert_opinion,,,,,
145,1,1,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,11,,140,92,Depth lower,9,m,23,Extracted from data table,20,group_opinion,,,,,
144,1,1,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,11,,139,91,Depth upper,9,m,23,Extracted from data table,1,group_opinion,,,,,
148,1,5,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,282,143,96,Wave exposure preference,10,cat,22,Derived from textual description,broad,group_opinion,,,,,
230,1,5,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,282,220,97,Water clarity preference,10,cat,22,Derived from textual description,both,group_opinion,,,,,
226,1,1,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,11,,216,92,Depth lower,9,m,23,Extracted from data table,50,group_opinion,,,,,
225,1,1,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,11,,215,91,Depth upper,9,m,23,Extracted from data table,0,group_opinion,,,,,
110917,1,2,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125364,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
229,1,5,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,282,219,96,Wave exposure preference,10,cat,22,Derived from textual description,broad,group_opinion,,,,,
357,1,5,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,282,342,96,Wave exposure preference,10,cat,22,Derived from textual description,broad,group_opinion,,,,,
358,1,5,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,282,343,97,Water clarity preference,10,cat,22,Derived from textual description,both,group_opinion,,,,,
110923,1,2,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125370,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
353,1,1,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,11,,338,91,Depth upper,9,m,23,Extracted from data table,2,group_opinion,,,,,
